priority,year,year_slug,term,week_of_term,week_of_year,word,category,statutory,difficulty_rank,focus,origin_candidate,origin_hint,status,definition,example_sentence,origin,notes
409,4,year4,autumn,5,5,women,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
410,4,year4,autumn,6,6,adventure,rule-example,,2,-ture ending for /tʃə/,yes,,todo,,,,
411,4,year4,autumn,6,6,collision,rule-example,,3,-sion ending for /ʒən/,yes,,todo,,,,
412,4,year4,autumn,6,6,confusion,rule-example,,3,-sion ending for /ʒən/,yes,,todo,,,,
413,4,year4,autumn,6,6,dangerous,rule-example,,3,suffix -ous,yes,,todo,,,,
414,4,year4,autumn,6,6,decision,rule-example,,3,-sion ending for /ʒən/,yes,,todo,,,,
415,4,year4,autumn,6,6,division,rule-example,,2,-sion ending for /ʒən/,yes,,todo,,,,
416,4,year4,autumn,6,6,enormous,rule-example,,3,suffix -ous (no obvious root word),yes,,todo,,,,
417,4,year4,autumn,6,6,invasion,rule-example,,3,-sion ending for /ʒən/,yes,,todo,,,,
418,4,year4,autumn,6,6,jealous,rule-example,,3,suffix -ous (no obvious root word),yes,,todo,,,,
419,4,year4,autumn,6,6,mountainous,rule-example,,3,suffix -ous,yes,,todo,,,,
420,4,year4,autumn,6,6,nature,rule-example,,2,-ture ending for /tʃə/,yes,,todo,,,,
421,4,year4,autumn,6,6,poisonous,rule-example,,3,suffix -ous,yes,,todo,,,,
422,4,year4,autumn,6,6,television,rule-example,,3,-sion ending for /ʒən/,yes,,todo,,,,
423,4,year4,autumn,6,6,tremendous,rule-example,,3,suffix -ous (no obvious root word),yes,,todo,,,,
424,4,year4,autumn,7,7,action,rule-example,,3,-tion ending after t/te,yes,,todo,,,,
425,4,year4,autumn,7,7,courageous,rule-example,,3,suffix -ous (keeping the soft g),yes,,todo,,,,
426,4,year4,autumn,7,7,courteous,rule-example,,3,suffix -ous spelt e for /iː/,yes,,todo,,,,
427,4,year4,autumn,7,7,curious,rule-example,,3,suffix -ous spelt i for /iː/,yes,,todo,,,,
428,4,year4,autumn,7,7,glamorous,rule-example,,3,suffix -ous (-our changes to -or),yes,,todo,,,,
429,4,year4,autumn,7,7,hesitation,rule-example,,3,-tion ending after t/te,yes,,todo,,,,
430,4,year4,autumn,7,7,hideous,rule-example,,3,suffix -ous spelt e for /iː/,yes,,todo,,,,
431,4,year4,autumn,7,7,humorous,rule-example,,3,suffix -ous (-our changes to -or),yes,,todo,,,,
432,4,year4,autumn,7,7,injection,rule-example,,3,-tion ending after t/te,yes,,todo,,,,
433,4,year4,autumn,7,7,invention,rule-example,,3,-tion ending after t/te,yes,,todo,,,,
434,4,year4,autumn,7,7,obvious,rule-example,,3,suffix -ous spelt i for /iː/,yes,,todo,,,,
435,4,year4,autumn,7,7,outrageous,rule-example,,3,suffix -ous (keeping the soft g),yes,,todo,,,,
436,4,year4,autumn,7,7,serious,rule-example,,3,suffix -ous spelt i for /iː/,yes,,todo,,,,
437,4,year4,autumn,7,7,spontaneous,rule-example,,3,suffix -ous spelt e for /iː/,yes,,todo,,,,
438,4,year4,autumn,7,7,vigorous,rule-example,,3,suffix -ous (-our changes to -or),yes,,todo,,,,
439,4,year4,autumn,8,8,admission,rule-example,,4,-ssion ending after ss/mit,yes,,todo,,,,
440,4,year4,autumn,8,8,completion,rule-example,,3,-tion ending after t/te,yes,,todo,,,,
441,4,year4,autumn,8,8,comprehension,rule-example,,4,-sion ending after d/se,yes,,todo,,,,
442,4,year4,autumn,8,8,confession,rule-example,,3,-ssion ending after ss/mit,yes,,todo,,,,
443,4,year4,autumn,8,8,discussion,rule-example,,3,-ssion ending after ss/mit,yes,,todo,,,,
444,4,year4,autumn,8,8,electrician,rule-example,,4,-cian ending after c/cs,yes,,todo,,,,
445,4,year4,autumn,8,8,expansion,rule-example,,4,-sion ending after d/se,yes,,todo,,,,
446,4,year4,autumn,8,8,expression,rule-example,,3,-ssion ending after ss/mit,yes,,todo,,,,
447,4,year4,autumn,8,8,extension,rule-example,,4,-sion ending after d/se,yes,,todo,,,,
448,4,year4,autumn,8,8,magician,rule-example,,4,-cian ending after c/cs,yes,,todo,,,,
449,4,year4,autumn,8,8,mathematician,rule-example,,4,-cian ending after c/cs,yes,,todo,,,,
450,4,year4,autumn,8,8,musician,rule-example,,4,-cian ending after c/cs,yes,,todo,,,,
451,4,year4,autumn,8,8,permission,rule-example,,4,-ssion ending after ss/mit,yes,,todo,,,,
452,4,year4,autumn,8,8,politician,rule-example,,4,-cian ending after c/cs,yes,,todo,,,,
453,4,year4,autumn,8,8,tension,rule-example,,4,-sion ending after d/se,yes,,todo,,,,
454,4,year4,autumn,9,9,antique,rule-example,,4,the /k/ sound spelt -que (French origin),yes,French origin,todo,,,,
455,4,year4,autumn,9,9,brochure,rule-example,,4,the /ʃ/ sound spelt ch (French origin),yes,French origin,todo,,,,
456,4,year4,autumn,9,9,chalet,rule-example,,4,the /ʃ/ sound spelt ch (French origin),yes,French origin,todo,,,,
457,4,year4,autumn,9,9,character,rule-example,,4,the /k/ sound spelt ch (Greek origin),yes,Greek origin,todo,,,,
458,4,year4,autumn,9,9,chef,rule-example,,4,the /ʃ/ sound spelt ch (French origin),yes,French origin,todo,,,,
459,4,year4,autumn,9,9,chemist,rule-example,,4,the /k/ sound spelt ch (Greek origin),yes,Greek origin,todo,,,,
460,4,year4,autumn,9,9,chorus,rule-example,,4,the /k/ sound spelt ch (Greek origin),yes,Greek origin,todo,,,,
461,4,year4,autumn,9,9,echo,rule-example,,4,the /k/ sound spelt ch (Greek origin),yes,Greek origin,todo,,,,
462,4,year4,autumn,9,9,league,rule-example,,4,the /g/ sound spelt -gue (French origin),yes,French origin,todo,,,,
463,4,year4,autumn,9,9,machine,rule-example,,4,the /ʃ/ sound spelt ch (French origin),yes,French origin,todo,,,,
464,4,year4,autumn,9,9,scene,rule-example,,4,the /s/ sound spelt sc (Latin origin),yes,Latin origin,todo,,,,
465,4,year4,autumn,9,9,scheme,rule-example,,4,the /k/ sound spelt ch (Greek origin),yes,Greek origin,todo,,,,
466,4,year4,autumn,9,9,science,rule-example,,4,the /s/ sound spelt sc (Latin origin),yes,Latin origin,todo,,,,
467,4,year4,autumn,9,9,tongue,rule-example,,4,the /g/ sound spelt -gue (French origin),yes,French origin,todo,,,,
468,4,year4,autumn,9,9,unique,rule-example,,4,the /k/ sound spelt -que (French origin),yes,French origin,todo,,,,
469,4,year4,autumn,10,10,accept,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
470,4,year4,autumn,10,10,babies',rule-example,,5,possessive apostrophe with plural words,yes,,todo,,,,
471,4,year4,autumn,10,10,boys',rule-example,,5,possessive apostrophe with plural words,yes,,todo,,,,
472,4,year4,autumn,10,10,children's,rule-example,,5,possessive apostrophe with an irregular plural,yes,,todo,,,,
473,4,year4,autumn,10,10,crescent,rule-example,,4,the /s/ sound spelt sc (Latin origin),yes,Latin origin,todo,,,,
474,4,year4,autumn,10,10,discipline,rule-example,,4,the /s/ sound spelt sc (Latin origin),yes,Latin origin,todo,,,,
475,4,year4,autumn,10,10,except,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
476,4,year4,autumn,10,10,fascinate,rule-example,,4,the /s/ sound spelt sc (Latin origin),yes,Latin origin,todo,,,,
477,4,year4,autumn,10,10,girls',rule-example,,5,possessive apostrophe with plural words,yes,,todo,,,,
478,4,year4,autumn,10,10,men's,rule-example,,5,possessive apostrophe with an irregular plural,yes,,todo,,,,
479,4,year4,autumn,10,10,neighbour,rule-example,,5,"the /eɪ/ sound spelt ei, eigh, ey",yes,,todo,,,,
480,4,year4,autumn,10,10,obey,rule-example,,5,"the /eɪ/ sound spelt ei, eigh, ey",yes,,todo,,,,
481,4,year4,autumn,10,10,vein,rule-example,,4,"the /eɪ/ sound spelt ei, eigh, ey",yes,,todo,,,,
482,4,year4,autumn,10,10,weigh,rule-example,,4,"the /eɪ/ sound spelt ei, eigh, ey",yes,,todo,,,,
483,4,year4,autumn,11,11,affect,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
484,4,year4,autumn,11,11,brake,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
485,4,year4,autumn,11,11,break,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
486,4,year4,autumn,11,11,effect,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
487,4,year4,autumn,11,11,fair,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
488,4,year4,autumn,11,11,fare,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
489,4,year4,autumn,11,11,grate,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
490,4,year4,autumn,11,11,great,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
491,4,year4,autumn,11,11,groan,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
492,4,year4,autumn,11,11,grown,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
493,4,year4,autumn,11,11,knot,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
494,4,year4,autumn,11,11,main,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
495,4,year4,autumn,11,11,mane,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
496,4,year4,autumn,11,11,not,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
497,4,year4,autumn,11,11,peace,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
498,4,year4,autumn,12,12,piece,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
499,4,year4,autumn,12,12,plain,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
500,4,year4,autumn,12,12,plane,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
501,4,year4,autumn,12,12,seen,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
502,4,year4,autumn,12,12,who's,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
503,4,year4,autumn,12,12,whose,rule-example,,5,homophones and near-homophones,yes,,todo,,,,
504,5,year5,autumn,2,2,accommodate,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
505,5,year5,autumn,2,2,accompany,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
506,5,year5,autumn,2,2,according,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
507,5,year5,autumn,2,2,achieve,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
508,5,year5,autumn,2,2,aggressive,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
509,5,year5,autumn,2,2,amateur,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
510,5,year5,autumn,2,2,ancient,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
511,5,year5,autumn,2,2,apparent,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
512,5,year5,autumn,2,2,appreciate,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
513,5,year5,autumn,2,2,attached,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
514,5,year5,autumn,2,2,available,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
515,5,year5,autumn,2,2,average,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
516,5,year5,autumn,2,2,awkward,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
517,5,year5,autumn,2,2,bargain,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
518,5,year5,autumn,2,2,bruise,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
519,5,year5,autumn,3,3,category,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
520,5,year5,autumn,3,3,cemetery,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
521,5,year5,autumn,3,3,committee,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
522,5,year5,autumn,3,3,communicate,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
523,5,year5,autumn,3,3,community,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
524,5,year5,autumn,3,3,competition,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
525,5,year5,autumn,3,3,conscience,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
526,5,year5,autumn,3,3,conscious,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
527,5,year5,autumn,3,3,controversy,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
528,5,year5,autumn,3,3,convenience,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
529,5,year5,autumn,3,3,correspond,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
530,5,year5,autumn,3,3,criticise,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
531,5,year5,autumn,3,3,curiosity,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
532,5,year5,autumn,3,3,definite,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
533,5,year5,autumn,3,3,desperate,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
534,5,year5,autumn,4,4,determined,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
535,5,year5,autumn,4,4,develop,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
536,5,year5,autumn,4,4,dictionary,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
537,5,year5,autumn,4,4,disastrous,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
538,5,year5,autumn,4,4,embarrass,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
539,5,year5,autumn,4,4,environment,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
540,5,year5,autumn,4,4,equip,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
541,5,year5,autumn,4,4,especially,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
542,5,year5,autumn,4,4,exaggerate,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
543,5,year5,autumn,4,4,excellent,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
544,5,year5,autumn,4,4,existence,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
545,5,year5,autumn,4,4,explanation,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
546,5,year5,autumn,4,4,familiar,statutory-word-list,yes,3,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
547,5,year5,autumn,4,4,foreign,statutory-word-list,yes,3,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
548,5,year5,autumn,4,4,forty,statutory-word-list,yes,3,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
549,5,year5,autumn,5,5,ambitious,rule-example,,3,endings that sound like /ʃəs/: -tious,yes,,todo,,,,
550,5,year5,autumn,5,5,cautious,rule-example,,3,endings that sound like /ʃəs/: -tious,yes,,todo,,,,
551,5,year5,autumn,5,5,delicious,rule-example,,3,endings that sound like /ʃəs/: -cious,yes,,todo,,,,
552,5,year5,autumn,5,5,frequently,statutory-word-list,yes,3,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
553,5,year5,autumn,5,5,government,statutory-word-list,yes,3,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
554,5,year5,autumn,5,5,guarantee,statutory-word-list,yes,3,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
555,5,year5,autumn,5,5,harass,statutory-word-list,yes,3,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
556,5,year5,autumn,5,5,infectious,rule-example,,3,endings that sound like /ʃəs/: -tious,yes,,todo,,,,
557,5,year5,autumn,5,5,malicious,rule-example,,3,endings that sound like /ʃəs/: -cious,yes,,todo,,,,
558,5,year5,autumn,5,5,nutritious,rule-example,,3,endings that sound like /ʃəs/: -tious,yes,,todo,,,,
559,5,year5,autumn,5,5,official,rule-example,,3,endings that sound like /ʃəl/: -cial after a vowel,yes,,todo,,,,
560,5,year5,autumn,5,5,precious,rule-example,,3,endings that sound like /ʃəs/: -cious,yes,,todo,,,,
561,5,year5,autumn,5,5,suspicious,rule-example,,3,endings that sound like /ʃəs/: -cious,yes,,todo,,,,
562,5,year5,autumn,6,6,artificial,rule-example,,3,endings that sound like /ʃəl/: -cial after a vowel,yes,,todo,,,,
563,5,year5,autumn,6,6,commercial,rule-example,,4,endings that sound like /ʃəl/: exceptions,yes,,todo,,,,
564,5,year5,autumn,6,6,confidential,rule-example,,3,endings that sound like /ʃəl/: -tial after a consonant,yes,,todo,,,,
565,5,year5,autumn,6,6,essential,rule-example,,4,endings that sound like /ʃəl/: -tial after a consonant,yes,,todo,,,,
566,5,year5,autumn,6,6,expectant,rule-example,,4,-ant/-ance words (related to /æ/ or /eɪ/ sound),yes,,todo,,,,
567,5,year5,autumn,6,6,financial,rule-example,,4,endings that sound like /ʃəl/: exceptions,yes,,todo,,,,
568,5,year5,autumn,6,6,hesitant,rule-example,,4,-ant/-ance words (related to /æ/ or /eɪ/ sound),yes,,todo,,,,
569,5,year5,autumn,6,6,initial,rule-example,,4,endings that sound like /ʃəl/: exceptions,yes,,todo,,,,
570,5,year5,autumn,6,6,innocent,rule-example,,4,"-ent/-ence words (after soft c, soft g, or qu)",yes,,todo,,,,
571,5,year5,autumn,6,6,observance,rule-example,,4,-ant/-ance words (related to /æ/ or /eɪ/ sound),yes,,todo,,,,
572,5,year5,autumn,6,6,observant,rule-example,,4,-ant/-ance words (related to /æ/ or /eɪ/ sound),yes,,todo,,,,
573,5,year5,autumn,6,6,partial,rule-example,,3,endings that sound like /ʃəl/: -tial after a consonant,yes,,todo,,,,
574,5,year5,autumn,6,6,provincial,rule-example,,4,endings that sound like /ʃəl/: exceptions,yes,,todo,,,,
575,5,year5,autumn,6,6,tolerance,rule-example,,4,-ant/-ance words (related to /æ/ or /eɪ/ sound),yes,,todo,,,,
576,5,year5,autumn,6,6,tolerant,rule-example,,4,-ant/-ance words (related to /æ/ or /eɪ/ sound),yes,,todo,,,,
577,5,year5,autumn,7,7,adorable,rule-example,,5,-able ending (related word ends in -ation),yes,,todo,,,,
578,5,year5,autumn,7,7,applicable,rule-example,,5,-able ending (related word ends in -ation),yes,,todo,,,,
579,5,year5,autumn,7,7,assistance,rule-example,,4,-ant/-ent words that must simply be learnt,yes,,todo,,,,
580,5,year5,autumn,7,7,assistant,rule-example,,4,-ant/-ent words that must simply be learnt,yes,,todo,,,,
581,5,year5,autumn,7,7,confidence,rule-example,,4,"-ent/-ence words (after soft c, soft g, or qu)",yes,,todo,,,,
582,5,year5,autumn,7,7,confident,rule-example,,4,"-ent/-ence words (after soft c, soft g, or qu)",yes,,todo,,,,
583,5,year5,autumn,7,7,considerable,rule-example,,5,-able ending (related word ends in -ation),yes,,todo,,,,
584,5,year5,autumn,7,7,decent,rule-example,,4,"-ent/-ence words (after soft c, soft g, or qu)",yes,,todo,,,,
585,5,year5,autumn,7,7,frequent,rule-example,,4,"-ent/-ence words (after soft c, soft g, or qu)",yes,,todo,,,,
586,5,year5,autumn,7,7,independence,rule-example,,5,-ant/-ent words that must simply be learnt,yes,,todo,,,,
587,5,year5,autumn,7,7,independent,rule-example,,5,-ant/-ent words that must simply be learnt,yes,,todo,,,,
588,5,year5,autumn,7,7,innocence,rule-example,,4,"-ent/-ence words (after soft c, soft g, or qu)",yes,,todo,,,,
589,5,year5,autumn,7,7,obedience,rule-example,,4,-ant/-ent words that must simply be learnt,yes,,todo,,,,
590,5,year5,autumn,7,7,obedient,rule-example,,4,-ant/-ent words that must simply be learnt,yes,,todo,,,,
591,5,year5,autumn,7,7,tolerable,rule-example,,5,-able ending (related word ends in -ation),yes,,todo,,,,
592,5,year5,autumn,8,8,changeable,rule-example,,5,"-able ending, keeping the soft c/g",yes,,todo,,,,
593,5,year5,autumn,8,8,comfortable,rule-example,,5,"-able ending, complete root word can be heard",yes,,todo,,,,
594,5,year5,autumn,8,8,dependable,rule-example,,5,"-able ending, complete root word can be heard",yes,,todo,,,,
595,5,year5,autumn,8,8,enjoyable,rule-example,,5,"-able ending, complete root word can be heard",yes,,todo,,,,
596,5,year5,autumn,8,8,forcible,rule-example,,5,"-ible ending, no complete root word heard",yes,,todo,,,,
597,5,year5,autumn,8,8,horrible,rule-example,,5,"-ible ending, sometimes a complete word is heard",yes,,todo,,,,
598,5,year5,autumn,8,8,incredible,rule-example,,5,"-ible ending, sometimes a complete word is heard",yes,,todo,,,,
599,5,year5,autumn,8,8,legible,rule-example,,5,"-ible ending, no complete root word heard",yes,,todo,,,,
600,5,year5,autumn,8,8,noticeable,rule-example,,5,"-able ending, keeping the soft c/g",yes,,todo,,,,
601,5,year5,autumn,8,8,reasonable,rule-example,,5,"-able ending, complete root word can be heard",yes,,todo,,,,
602,5,year5,autumn,8,8,reliable,rule-example,,5,"-able ending, complete root word can be heard",yes,,todo,,,,
603,5,year5,autumn,8,8,sensible,rule-example,,5,"-ible ending, sometimes a complete word is heard",yes,,todo,,,,
604,5,year5,autumn,8,8,terrible,rule-example,,5,"-ible ending, sometimes a complete word is heard",yes,,todo,,,,
605,5,year5,autumn,8,8,visible,rule-example,,5,"-ible ending, sometimes a complete word is heard",yes,,todo,,,,
606,6,year6,autumn,2,2,hindrance,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
607,6,year6,autumn,2,2,identity,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
608,6,year6,autumn,2,2,immediately,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
609,6,year6,autumn,2,2,individual,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
610,6,year6,autumn,2,2,interrupt,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
611,6,year6,autumn,2,2,language,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
612,6,year6,autumn,2,2,leisure,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
613,6,year6,autumn,2,2,lightning,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
614,6,year6,autumn,2,2,marvellous,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
615,6,year6,autumn,2,2,mischievous,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
616,6,year6,autumn,2,2,muscle,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
617,6,year6,autumn,2,2,necessary,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
618,6,year6,autumn,2,2,neighbour,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
619,6,year6,autumn,2,2,nuisance,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
620,6,year6,autumn,3,3,occupy,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
621,6,year6,autumn,3,3,occur,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
622,6,year6,autumn,3,3,opportunity,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
623,6,year6,autumn,3,3,parliament,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
624,6,year6,autumn,3,3,persuade,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
625,6,year6,autumn,3,3,physical,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
626,6,year6,autumn,3,3,prejudice,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
627,6,year6,autumn,3,3,privilege,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
628,6,year6,autumn,3,3,profession,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
629,6,year6,autumn,3,3,programme,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
630,6,year6,autumn,3,3,pronunciation,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
631,6,year6,autumn,3,3,queue,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
632,6,year6,autumn,3,3,recognise,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
633,6,year6,autumn,3,3,recommend,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
634,6,year6,autumn,3,3,relevant,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
635,6,year6,autumn,4,4,restaurant,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
636,6,year6,autumn,4,4,rhyme,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
637,6,year6,autumn,4,4,rhythm,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
638,6,year6,autumn,4,4,sacrifice,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
639,6,year6,autumn,4,4,secretary,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
640,6,year6,autumn,4,4,shoulder,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
641,6,year6,autumn,4,4,signature,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
642,6,year6,autumn,4,4,sincerely,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
643,6,year6,autumn,4,4,soldier,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
644,6,year6,autumn,4,4,stomach,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
645,6,year6,autumn,4,4,sufficient,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
646,6,year6,autumn,4,4,suggest,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
647,6,year6,autumn,4,4,symbol,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
